Date,model_as_of_date,retrain_fold,universe_rows,pred_cat_positive,pred_lgbm_positive,both_models_positive,positive_agreement,risk_eligible,agreement_and_risk_eligible,quantile_long_signals,final_candidates,entries,replacements,exits_missing,exits_opposite,exits_weak,exits_age,holdings,gross_exposure,regime_exposure,median_pred_raw,max_pred_raw
2026-05-12,2025-08-31,0,760,68,267,55,17,588,20,16,0,0,0,0,0,0,0,5,0.12785831162730105,1.0,-0.09832923998871804,0.32162248003130567
2026-05-13,2025-08-31,0,760,188,330,130,12,588,16,16,2,2,0,0,0,0,0,7,0.1938535536078381,1.0,-0.05377627629295781,0.3569907006077932
2026-05-14,2025-08-31,0,760,230,341,150,17,588,20,16,2,1,0,0,0,1,0,7,0.19144268225049185,1.0,-0.04212546261045305,0.39869972829887756
2026-05-15,2025-08-31,0,760,190,409,152,12,590,26,16,2,0,0,0,0,0,0,7,0.19226254715787053,1.0,-0.019496577094613835,0.4073208080083781
2026-05-18,2025-08-31,0,760,96,324,82,16,592,35,16,1,1,0,0,0,1,0,7,0.19190475298837179,1.0,-0.07213435360779094,0.2826742309811957
2026-05-19,2025-08-31,0,760,341,376,254,18,589,34,16,5,2,0,0,0,0,0,9,0.27028890694042157,1.0,-0.010935415522178207,0.44721327012990086
2026-05-20,2025-08-31,0,760,78,323,58,17,590,32,16,3,1,0,0,0,0,0,10,0.29237040979709455,1.0,-0.07853619482919108,0.3417335810962516
2026-05-21,2025-08-31,0,760,46,326,39,19,591,31,16,4,1,0,0,0,2,0,9,0.2696387688301775,1.0,-0.07810646800388074,0.32668826097693715
2026-05-22,2025-08-31,0,760,90,543,89,22,592,26,16,2,0,0,0,0,0,0,9,0.2700438475871676,1.0,-0.025330030363475035,0.4502946104775053
2026-05-26,2025-08-31,0,760,80,122,46,17,592,26,16,4,2,0,0,0,1,0,10,0.28363307802065363,1.0,-0.16208814774343777,0.2903218529897896
2026-05-27,2025-08-31,0,760,311,547,275,18,592,21,16,1,0,0,0,0,0,0,10,0.28297865440386755,1.0,0.02000041900994801,0.6892960660092389
2026-05-28,2025-08-31,0,760,433,499,317,14,589,18,16,0,0,0,0,0,0,0,10,0.28259128071969647,1.0,0.044915241029525654,0.6711819356446385
2026-05-29,2025-08-31,0,760,382,503,272,18,591,21,16,1,0,0,0,0,0,0,10,0.2821627399294448,1.0,0.032764347935777385,0.7044153387599768
2026-06-01,2025-08-31,0,760,371,560,326,18,589,32,16,2,0,0,0,0,0,0,10,0.27923367190981,1.0,0.061245530434786255,0.5469396503387238
2026-06-02,2025-08-31,0,760,498,646,474,19,587,30,16,2,0,0,0,0,0,0,10,0.2817508268980512,1.0,0.1515426230724557,0.6301479926074347
2026-06-03,2025-08-31,0,760,632,686,607,16,589,28,16,2,0,0,0,0,0,0,10,0.2841305101090089,1.0,0.21430557438603437,0.7731086792910044
2026-06-04,2025-08-31,0,760,610,660,571,14,589,27,16,1,0,0,0,0,0,0,10,0.28419900000637754,1.0,0.16897464473359147,0.7534928751873728
2026-06-05,2025-08-31,0,760,514,305,278,26,588,25,16,2,2,0,0,0,1,0,11,0.1517051857865002,0.5,0.019089619403987748,0.7171629460210384
2026-06-08,2025-08-31,0,760,587,386,346,32,588,24,16,2,0,0,0,0,0,0,11,0.29803196599153836,1.0,0.07168322523738357,0.6315511731752523
2026-06-09,2025-08-31,0,760,511,321,281,26,587,19,16,2,0,0,0,0,0,1,10,0.27338049167452905,1.0,0.026851886621849827,0.654937025054793
2026-06-10,2025-08-31,0,760,590,270,254,28,586,27,16,1,0,0,0,0,0,0,10,0.13696893092505164,0.5,0.039734344925061435,0.7888871956431278
2026-06-11,2025-08-31,0,759,591,310,290,26,586,26,16,1,0,0,0,0,0,0,10,0.2723123082267189,1.0,0.06781479964739426,0.7318580576215357
2026-06-12,2025-08-31,0,759,426,220,194,25,585,22,16,1,0,0,0,0,1,0,9,0.2378141037226324,1.0,-0.030745926980663682,0.6401514292007981
2026-06-15,2025-08-31,0,759,484,632,472,26,584,28,16,4,2,0,0,0,0,0,11,0.2955395633054108,1.0,0.15883005070374476,0.7298447721799964
2026-06-16,2025-08-31,0,759,495,589,463,24,586,19,16,3,0,0,0,0,0,0,11,0.29512860889954967,1.0,0.12016963775027222,0.7490315538056995
2026-06-17,2025-08-31,0,759,532,413,359,24,587,23,16,1,0,0,0,0,0,0,11,0.29377819494987106,1.0,0.07933958565810602,0.6618588608062641
2026-06-18,2025-08-31,0,759,456,647,436,25,589,21,16,0,0,0,0,0,0,0,11,0.2933176340337854,1.0,0.13405016707512507,0.7741236676879872
2026-06-22,2025-08-31,0,759,638,306,279,20,589,22,16,1,1,0,0,0,0,1,11,0.2966807970599426,1.0,0.08753142751086702,0.5848777730749761
2026-06-23,2025-08-31,0,759,477,303,275,29,589,23,16,0,0,0,0,0,0,0,11,0.29614881437958523,1.0,0.023173248842715197,0.6082797635241932
2026-06-24,2025-08-31,0,759,485,259,233,28,590,15,16,0,0,0,0,0,0,0,11,0.2958181254318173,1.0,0.020995204667959712,0.644435251074891
2026-06-25,2025-08-31,0,758,472,322,288,24,589,20,16,0,0,0,0,0,0,0,11,0.29467225801308006,1.0,0.038093632614473835,0.6721337846366036
2026-06-26,2025-08-31,0,758,523,291,266,25,589,19,16,0,0,0,0,0,0,0,11,0.2962398019612592,1.0,0.02967177109134165,0.6801853234952273
2026-06-29,2025-08-31,0,758,543,308,298,23,587,25,16,0,0,0,0,0,1,0,10,0.27169618779364874,1.0,0.0643049479977543,0.6546915425700437
2026-06-30,2025-08-31,0,758,534,611,507,22,587,22,16,1,0,0,0,0,0,0,10,0.27273258067054773,1.0,0.14972404589426247,0.6771711716883835
2026-07-01,2025-08-31,0,757,558,539,473,23,587,22,16,1,0,0,0,0,0,0,10,0.13654634211507952,0.5,0.12937629935298942,0.6609998839802862
2026-07-02,2025-08-31,0,757,396,571,356,19,587,24,16,1,0,0,0,0,1,0,9,0.1275369220361334,0.5,0.06980463290196279,0.5674809546006756
2026-07-06,2025-08-31,0,756,573,540,470,24,585,24,16,1,0,0,0,0,0,0,9,0.12804858028904761,0.5,0.11648885723507223,0.690158588263593
2026-07-07,2025-08-31,0,754,385,614,348,18,584,20,16,4,2,0,0,0,0,0,11,0.30130763776121444,1.0,0.06116114810741122,0.5233248448917286
2026-07-08,2025-08-31,0,754,196,212,116,23,585,26,16,4,2,0,0,0,2,0,11,0.3119514349394556,1.0,-0.09199480064278956,0.428820486135735
2026-07-09,2025-08-31,0,754,447,572,373,17,585,24,16,2,0,0,0,0,0,0,11,0.31200902345564924,1.0,0.07406566782949027,0.5667859892542338
2026-07-10,2025-08-31,0,754,516,666,487,19,584,24,16,3,1,0,0,0,0,0,12,0.33862168123619896,1.0,0.12317349153385512,0.542051741630393
2026-07-13,2025-08-31,0,754,168,230,118,20,585,30,16,6,4,0,0,0,0,0,16,0.4598883706216493,1.0,-0.07944407756359877,0.3920267126119673
2026-07-14,2025-08-31,0,754,208,528,190,18,585,27,16,6,1,0,0,0,0,1,16,0.4688828158567028,1.0,0.012957654244635231,0.5268271096672112
2026-07-15,2025-08-31,0,754,427,634,403,21,584,24,16,1,0,0,0,0,0,0,16,0.46847938120850646,1.0,0.08250384949591363,0.7344466224133974
2026-07-16,2025-08-31,0,745,158,192,108,24,577,32,15,5,1,0,0,0,0,0,17,0.49442536885222804,1.0,-0.10579696760336899,0.44991881042296966
2026-07-17,2025-08-31,0,745,199,138,116,26,577,23,15,3,1,0,0,0,1,0,17,0.49403019584358765,1.0,-0.15297808543176308,0.4864465258105988
2026-07-20,2025-08-31,0,746,172,104,79,20,577,23,15,3,1,0,0,0,2,0,16,0.460662074614956,1.0,-0.14799148272274315,0.4401791169945091
2026-07-21,2025-08-31,0,746,27,118,19,14,575,25,15,6,2,0,0,0,3,1,14,0.416122646792833,1.0,-0.19748818183376018,0.3401898833319456
2026-07-22,2025-08-31,0,746,56,125,34,20,576,17,15,4,0,0,0,0,0,0,14,0.4144422831155759,1.0,-0.16987313048901098,0.3431846031806902
2026-07-23,2025-08-31,0,743,144,91,63,27,574,26,15,3,0,0,1,0,0,1,12,0.35814614062600925,1.0,-0.16213715311761034,0.38359071558580377
2026-07-24,2025-08-31,0,742,138,98,68,24,573,25,15,2,0,0,0,0,0,0,12,0.3528984693919063,1.0,-0.17101790625443167,0.41396778962950465
2026-07-27,2025-08-31,0,743,196,81,64,22,574,29,15,5,2,0,0,0,1,0,13,0.39880517130565374,1.0,-0.15622389981936038,0.422502681042278
2026-07-28,2025-08-31,0,743,82,105,44,25,574,29,15,4,0,0,0,0,2,0,11,0.33297804569708883,1.0,-0.1707947481946645,0.3729651246793796
2026-07-29,2025-08-31,0,742,244,135,113,29,573,29,15,2,0,0,0,0,0,0,11,0.166592358909733,0.5,-0.13705835971083813,0.4828881822306197
2026-07-30,2025-08-31,0,743,160,169,98,24,574,30,15,4,1,0,0,0,0,0,12,0.36876281161973085,1.0,-0.13355076375983582,0.43636516020638816
2026-07-31,2025-08-31,0,745,338,526,301,21,577,25,15,1,0,0,0,0,0,0,12,0.3683073929692032,1.0,0.021711682971505056,0.5796849289282194
2026-08-03,2025-08-31,0,742,150,116,62,19,574,20,15,2,2,0,0,0,5,0,9,0.250707861691508,1.0,-0.1641827593501563,0.4104833360510344
2026-08-04,2025-08-31,0,744,5,22,2,2,574,5,15,0,0,0,0,0,8,0,1,0.03333333333333333,1.0,-0.36133085050074415,0.07377047551548645
2026-08-05,2025-08-31,0,744,21,60,9,9,574,9,15,0,0,0,0,0,1,0,0,0.0,1.0,-0.2860913401125323,0.25037786686042285
2026-08-06,2025-08-31,0,746,39,50,12,12,573,19,15,0,0,0,0,0,0,0,0,0.0,1.0,-0.26803926431701275,0.3727962814534444
2026-08-07,2025-08-31,0,743,21,39,7,7,572,23,15,2,2,0,0,0,0,0,2,0.05423513168679115,1.0,-0.2895322234112477,0.2745838086572795
2026-08-10,2025-08-31,0,742,59,33,7,7,572,7,15,1,1,0,0,0,2,0,1,0.03280167778500617,1.0,-0.2684627342768556,0.1722664826590831
2026-08-11,2025-08-31,0,746,44,71,19,12,574,14,15,1,1,0,0,0,0,0,2,0.057075298310817715,1.0,-0.2487840045973581,0.2691361447832137
2026-08-12,2025-08-31,0,746,34,49,8,8,574,16,15,1,0,0,0,0,0,0,2,0.05704462072802255,1.0,-0.26751361547763197,0.22649377673291718
2026-08-13,2025-08-31,0,746,10,71,4,2,575,17,15,0,0,0,0,0,1,0,1,0.024556757864611423,1.0,-0.28415119786387133,0.27092912026938165
2026-08-14,2025-08-31,0,746,6,74,3,2,576,19,15,0,0,0,0,0,1,0,0,0.0,1.0,-0.2784076104856614,0.26171616057485375
2026-08-17,2025-08-31,0,746,111,39,16,5,575,4,15,0,0,0,0,0,0,0,0,0.0,1.0,-0.2258268438938245,0.3178942434808991
2026-08-18,2025-08-31,0,746,65,74,19,13,574,16,15,1,1,0,0,0,0,0,1,0.028879176581023843,1.0,-0.2205205479528427,0.34303121276552784
2026-08-19,2025-08-31,0,744,98,88,40,15,573,17,15,0,0,0,0,0,0,0,1,0.02863545587676374,1.0,-0.24586193321907832,0.3287003391795948
2026-08-20,2025-08-31,0,744,77,144,59,19,572,17,15,0,0,0,0,0,0,0,1,0.028908962511635942,1.0,-0.19736497767318917,0.37039257711012896
2026-08-21,2025-08-31,0,743,103,107,50,13,573,14,15,0,0,0,0,0,0,0,1,0.028595438539374178,1.0,-0.2059720206338141,0.35342513475785425
2026-08-24,2025-08-31,0,742,40,72,19,16,573,12,15,1,1,0,0,0,0,0,2,0.051161471153477765,1.0,-0.2501464358567725,0.21460424633121492
2026-08-25,2025-08-31,0,743,2,97,1,0,572,13,15,0,0,0,0,0,2,0,0,0.0,1.0,-0.3135186124424308,0.2531445609483667
2026-08-26,2025-08-31,0,743,40,169,31,14,572,20,15,0,0,0,0,0,0,0,0,0.0,1.0,-0.2087156049694298,0.295596679087369
2026-08-27,2025-08-31,0,743,6,80,2,1,573,10,15,0,0,0,0,0,0,0,0,0.0,1.0,-0.271081061317568,0.2660289440255097
